2026-08-12 12:47:20,513 | INFO | Foram extraídos 1248 registros
2026-08-12 12:47:20,513 | INFO | ============================================================
2026-08-12 12:47:20,513 | INFO | ============================================================
2026-08-12 12:47:20,514 | INFO | Iniciando extração: moeda=AUD, ano=2021
2026-08-12 12:47:21,089 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:21,093 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:21,094 | INFO | Pasta criada com sucesso
2026-08-12 12:47:21,100 | INFO | Extração concluída
2026-08-12 12:47:21,101 | INFO | Foram extraídos 1248 registros
2026-08-12 12:47:21,101 | INFO | ============================================================
2026-08-12 12:47:21,101 | INFO | ============================================================
2026-08-12 12:47:21,101 | INFO | Iniciando extração: moeda=AUD, ano=2022
2026-08-12 12:47:21,683 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:21,687 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:21,688 | INFO | Pasta criada com sucesso
2026-08-12 12:47:21,694 | INFO | Extração concluída
2026-08-12 12:47:21,694 | INFO | Foram extraídos 1250 registros
2026-08-12 12:47:21,694 | INFO | ============================================================
2026-08-12 12:47:21,694 | INFO | ============================================================
2026-08-12 12:47:21,694 | INFO | Iniciando extração: moeda=AUD, ano=2023
2026-08-12 12:47:22,331 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:22,335 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:22,335 | INFO | Pasta criada com sucesso
2026-08-12 12:47:22,341 | INFO | Extração concluída
2026-08-12 12:47:22,341 | INFO | Foram extraídos 1240 registros
2026-08-12 12:47:22,341 | INFO | ============================================================
2026-08-12 12:47:22,341 | INFO | ============================================================
2026-08-12 12:47:22,342 | INFO | Iniciando extração: moeda=AUD, ano=2024
2026-08-12 12:47:23,019 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:23,023 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:23,023 | INFO | Pasta criada com sucesso
2026-08-12 12:47:23,029 | INFO | Extração concluída
2026-08-12 12:47:23,029 | INFO | Foram extraídos 1258 registros
2026-08-12 12:47:23,029 | INFO | ============================================================
2026-08-12 12:47:23,029 | INFO | ============================================================
2026-08-12 12:47:23,030 | INFO | Iniciando extração: moeda=AUD, ano=2025
2026-08-12 12:47:23,596 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:23,600 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:23,601 | INFO | Pasta criada com sucesso
2026-08-12 12:47:23,606 | INFO | Extração concluída
2026-08-12 12:47:23,606 | INFO | Foram extraídos 1254 registros
2026-08-12 12:47:23,607 | INFO | ============================================================
2026-08-12 12:47:23,607 | INFO | ============================================================
2026-08-12 12:47:23,607 | INFO | Iniciando extração: moeda=AUD, ano=2026
2026-08-12 12:47:25,064 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:25,066 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:25,067 | INFO | Pasta criada com sucesso
2026-08-12 12:47:25,070 | INFO | Extração concluída
2026-08-12 12:47:25,070 | INFO | Foram extraídos 761 registros
2026-08-12 12:47:25,071 | INFO | ============================================================
2026-08-12 12:47:25,071 | INFO | ============================================================
2026-08-12 12:47:25,071 | INFO | Iniciando extração: moeda=CAD, ano=2000
2026-08-12 12:47:25,767 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:25,780 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:25,781 | INFO | Pasta criada com sucesso
2026-08-12 12:47:25,797 | INFO | Extração concluída
2026-08-12 12:47:25,798 | INFO | Foram extraídos 4250 registros
2026-08-12 12:47:25,798 | INFO | ============================================================
2026-08-12 12:47:25,798 | INFO | ============================================================
2026-08-12 12:47:25,798 | INFO | Iniciando extração: moeda=CAD, ano=2001
2026-08-12 12:47:26,728 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:26,740 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:26,741 | INFO | Pasta criada com sucesso
2026-08-12 12:47:26,757 | INFO | Extração concluída
2026-08-12 12:47:26,757 | INFO | Foram extraídos 4090 registros
2026-08-12 12:47:26,757 | INFO | ============================================================
2026-08-12 12:47:26,757 | INFO | ============================================================
2026-08-12 12:47:26,758 | INFO | Iniciando extração: moeda=CAD, ano=2002
2026-08-12 12:47:27,493 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:27,503 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:27,504 | INFO | Pasta criada com sucesso
2026-08-12 12:47:27,518 | INFO | Extração concluída
2026-08-12 12:47:27,518 | INFO | Foram extraídos 4029 registros
2026-08-12 12:47:27,519 | INFO | ============================================================
2026-08-12 12:47:27,519 | INFO | ============================================================
2026-08-12 12:47:27,519 | INFO | Iniciando extração: moeda=CAD, ano=2003
2026-08-12 12:47:28,255 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:28,267 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:28,268 | INFO | Pasta criada com sucesso
2026-08-12 12:47:28,282 | INFO | Extração concluída
2026-08-12 12:47:28,282 | INFO | Foram extraídos 4025 registros
2026-08-12 12:47:28,282 | INFO | ============================================================
2026-08-12 12:47:28,282 | INFO | ============================================================
2026-08-12 12:47:28,283 | INFO | Iniciando extração: moeda=CAD, ano=2004
2026-08-12 12:47:29,043 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:29,055 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:29,056 | INFO | Pasta criada com sucesso
2026-08-12 12:47:29,075 | INFO | Extração concluída
2026-08-12 12:47:29,075 | INFO | Foram extraídos 3864 registros
2026-08-12 12:47:29,076 | INFO | ============================================================
2026-08-12 12:47:29,076 | INFO | ============================================================
2026-08-12 12:47:29,076 | INFO | Iniciando extração: moeda=CAD, ano=2005
2026-08-12 12:47:29,838 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:29,850 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:29,851 | INFO | Pasta criada com sucesso
2026-08-12 12:47:29,867 | INFO | Extração concluída
2026-08-12 12:47:29,867 | INFO | Foram extraídos 3631 registros
2026-08-12 12:47:29,868 | INFO | ============================================================
2026-08-12 12:47:29,868 | INFO | ============================================================
2026-08-12 12:47:29,868 | INFO | Iniciando extração: moeda=CAD, ano=2006
2026-08-12 12:47:30,671 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:30,683 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:30,683 | INFO | Pasta criada com sucesso
2026-08-12 12:47:30,702 | INFO | Extração concluída
2026-08-12 12:47:30,703 | INFO | Foram extraídos 4128 registros
2026-08-12 12:47:30,703 | INFO | ============================================================
2026-08-12 12:47:30,703 | INFO | ============================================================
2026-08-12 12:47:30,703 | INFO | Iniciando extração: moeda=CAD, ano=2007
2026-08-12 12:47:31,417 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:31,425 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:31,426 | INFO | Pasta criada com sucesso
2026-08-12 12:47:31,438 | INFO | Extração concluída
2026-08-12 12:47:31,438 | INFO | Foram extraídos 3685 registros
2026-08-12 12:47:31,439 | INFO | ============================================================
2026-08-12 12:47:31,439 | INFO | ============================================================
2026-08-12 12:47:31,439 | INFO | Iniciando extração: moeda=CAD, ano=2008
2026-08-12 12:47:32,328 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:32,338 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:32,339 | INFO | Pasta criada com sucesso
2026-08-12 12:47:32,354 | INFO | Extração concluída
2026-08-12 12:47:32,354 | INFO | Foram extraídos 4292 registros
2026-08-12 12:47:32,354 | INFO | ============================================================
2026-08-12 12:47:32,354 | INFO | ============================================================
2026-08-12 12:47:32,354 | INFO | Iniciando extração: moeda=CAD, ano=2009
2026-08-12 12:47:33,006 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:33,016 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:33,016 | INFO | Pasta criada com sucesso
2026-08-12 12:47:33,030 | INFO | Extração concluída
2026-08-12 12:47:33,030 | INFO | Foram extraídos 4224 registros
2026-08-12 12:47:33,030 | INFO | ============================================================
2026-08-12 12:47:33,030 | INFO | ============================================================
2026-08-12 12:47:33,030 | INFO | Iniciando extração: moeda=CAD, ano=2010
2026-08-12 12:47:33,716 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:33,725 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:33,726 | INFO | Pasta criada com sucesso
2026-08-12 12:47:33,741 | INFO | Extração concluída
2026-08-12 12:47:33,741 | INFO | Foram extraídos 4210 registros
2026-08-12 12:47:33,742 | INFO | ============================================================
2026-08-12 12:47:33,742 | INFO | ============================================================
2026-08-12 12:47:33,742 | INFO | Iniciando extração: moeda=CAD, ano=2011
2026-08-12 12:47:34,451 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:34,459 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:34,459 | INFO | Pasta criada com sucesso
2026-08-12 12:47:34,470 | INFO | Extração concluída
2026-08-12 12:47:34,470 | INFO | Foram extraídos 2737 registros
2026-08-12 12:47:34,470 | INFO | ============================================================
2026-08-12 12:47:34,470 | INFO | ============================================================
2026-08-12 12:47:34,470 | INFO | Iniciando extração: moeda=CAD, ano=2012
2026-08-12 12:47:35,037 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:35,041 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:35,042 | INFO | Pasta criada com sucesso
2026-08-12 12:47:35,048 | INFO | Extração concluída
2026-08-12 12:47:35,048 | INFO | Foram extraídos 1250 registros
2026-08-12 12:47:35,048 | INFO | ============================================================
2026-08-12 12:47:35,048 | INFO | ============================================================
2026-08-12 12:47:35,049 | INFO | Iniciando extração: moeda=CAD, ano=2013
2026-08-12 12:47:35,689 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:35,693 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:35,693 | INFO | Pasta criada com sucesso
2026-08-12 12:47:35,700 | INFO | Extração concluída
2026-08-12 12:47:35,700 | INFO | Foram extraídos 1259 registros
2026-08-12 12:47:35,700 | INFO | ============================================================
2026-08-12 12:47:35,701 | INFO | ============================================================
2026-08-12 12:47:35,701 | INFO | Iniciando extração: moeda=CAD, ano=2014
2026-08-12 12:47:36,252 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:36,256 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:36,257 | INFO | Pasta criada com sucesso
2026-08-12 12:47:36,263 | INFO | Extração concluída
2026-08-12 12:47:36,263 | INFO | Foram extraídos 1254 registros
2026-08-12 12:47:36,263 | INFO | ============================================================
2026-08-12 12:47:36,263 | INFO | ============================================================
2026-08-12 12:47:36,264 | INFO | Iniciando extração: moeda=CAD, ano=2015
2026-08-12 12:47:36,973 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:36,977 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:36,978 | INFO | Pasta criada com sucesso
2026-08-12 12:47:36,985 | INFO | Extração concluída
2026-08-12 12:47:36,985 | INFO | Foram extraídos 1244 registros
2026-08-12 12:47:36,985 | INFO | ============================================================
2026-08-12 12:47:36,985 | INFO | ============================================================
2026-08-12 12:47:36,986 | INFO | Iniciando extração: moeda=CAD, ano=2016
2026-08-12 12:47:37,644 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:37,649 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:37,649 | INFO | Pasta criada com sucesso
2026-08-12 12:47:37,655 | INFO | Extração concluída
2026-08-12 12:47:37,655 | INFO | Foram extraídos 1253 registros
2026-08-12 12:47:37,655 | INFO | ============================================================
2026-08-12 12:47:37,655 | INFO | ============================================================
2026-08-12 12:47:37,656 | INFO | Iniciando extração: moeda=CAD, ano=2017
2026-08-12 12:47:38,212 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:38,217 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:38,217 | INFO | Pasta criada com sucesso
2026-08-12 12:47:38,225 | INFO | Extração concluída
2026-08-12 12:47:38,225 | INFO | Foram extraídos 1243 registros
2026-08-12 12:47:38,225 | INFO | ============================================================
2026-08-12 12:47:38,225 | INFO | ============================================================
2026-08-12 12:47:38,225 | INFO | Iniciando extração: moeda=CAD, ano=2018
2026-08-12 12:47:38,847 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:38,851 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:38,852 | INFO | Pasta criada com sucesso
2026-08-12 12:47:38,858 | INFO | Extração concluída
2026-08-12 12:47:38,858 | INFO | Foram extraídos 1244 registros
2026-08-12 12:47:38,858 | INFO | ============================================================
2026-08-12 12:47:38,858 | INFO | ============================================================
2026-08-12 12:47:38,859 | INFO | Iniciando extração: moeda=CAD, ano=2019
2026-08-12 12:47:39,408 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:39,412 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:39,412 | INFO | Pasta criada com sucesso
2026-08-12 12:47:39,417 | INFO | Extração concluída
2026-08-12 12:47:39,417 | INFO | Foram extraídos 1259 registros
2026-08-12 12:47:39,417 | INFO | ============================================================
2026-08-12 12:47:39,417 | INFO | ============================================================
2026-08-12 12:47:39,418 | INFO | Iniciando extração: moeda=CAD, ano=2020
2026-08-12 12:47:40,028 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:40,032 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:40,033 | INFO | Pasta criada com sucesso
2026-08-12 12:47:40,042 | INFO | Extração concluída
2026-08-12 12:47:40,042 | INFO | Foram extraídos 1248 registros
2026-08-12 12:47:40,042 | INFO | ============================================================
2026-08-12 12:47:40,043 | INFO | ============================================================
2026-08-12 12:47:40,043 | INFO | Iniciando extração: moeda=CAD, ano=2021
2026-08-12 12:47:40,690 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:40,694 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:40,694 | INFO | Pasta criada com sucesso
2026-08-12 12:47:40,701 | INFO | Extração concluída
2026-08-12 12:47:40,702 | INFO | Foram extraídos 1248 registros
2026-08-12 12:47:40,702 | INFO | ============================================================
2026-08-12 12:47:40,702 | INFO | ============================================================
2026-08-12 12:47:40,702 | INFO | Iniciando extração: moeda=CAD, ano=2022
2026-08-12 12:47:41,313 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:41,317 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:41,318 | INFO | Pasta criada com sucesso
2026-08-12 12:47:41,324 | INFO | Extração concluída
2026-08-12 12:47:41,325 | INFO | Foram extraídos 1250 registros
2026-08-12 12:47:41,325 | INFO | ============================================================
2026-08-12 12:47:41,325 | INFO | ============================================================
2026-08-12 12:47:41,325 | INFO | Iniciando extração: moeda=CAD, ano=2023
2026-08-12 12:47:41,923 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:41,927 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:41,927 | INFO | Pasta criada com sucesso
2026-08-12 12:47:41,934 | INFO | Extração concluída
2026-08-12 12:47:41,934 | INFO | Foram extraídos 1240 registros
2026-08-12 12:47:41,934 | INFO | ============================================================
2026-08-12 12:47:41,934 | INFO | ============================================================
2026-08-12 12:47:41,935 | INFO | Iniciando extração: moeda=CAD, ano=2024
2026-08-12 12:47:42,539 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:42,544 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:42,545 | INFO | Pasta criada com sucesso
2026-08-12 12:47:42,551 | INFO | Extração concluída
2026-08-12 12:47:42,551 | INFO | Foram extraídos 1258 registros
2026-08-12 12:47:42,551 | INFO | ============================================================
2026-08-12 12:47:42,552 | INFO | ============================================================
2026-08-12 12:47:42,552 | INFO | Iniciando extração: moeda=CAD, ano=2025
2026-08-12 12:47:43,134 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:43,138 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:43,139 | INFO | Pasta criada com sucesso
2026-08-12 12:47:43,144 | INFO | Extração concluída
2026-08-12 12:47:43,144 | INFO | Foram extraídos 1254 registros
2026-08-12 12:47:43,145 | INFO | ============================================================
2026-08-12 12:47:43,145 | INFO | ============================================================
2026-08-12 12:47:43,145 | INFO | Iniciando extração: moeda=CAD, ano=2026
2026-08-12 12:47:43,635 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:43,638 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:43,639 | INFO | Pasta criada com sucesso
2026-08-12 12:47:43,642 | INFO | Extração concluída
2026-08-12 12:47:43,643 | INFO | Foram extraídos 761 registros
2026-08-12 12:47:43,643 | INFO | ============================================================
2026-08-12 12:47:43,643 | INFO | ============================================================
2026-08-12 12:47:43,643 | INFO | Iniciando extração: moeda=CHF, ano=2000
2026-08-12 12:47:44,414 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:44,426 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:44,427 | INFO | Pasta criada com sucesso
2026-08-12 12:47:44,444 | INFO | Extração concluída
